ONE | 10/11/2021 10:42:01 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 10:43:46 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 11:18:00 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 11:20:17 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 11:27:00 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 11:31:10 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 11:31:54 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 11:32:17 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 11:34:54 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 11:35:18 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 11:43:55 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 11:44:40 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 12:45:52 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:01:33 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:02:34 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:03:50 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:05:10 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:07:18 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:20:03 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:22:32 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:33:20 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:33:31 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:35:03 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:36:37 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:37:38 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:40:12 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:46:07 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 3:49:48 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 4:37:16 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 4:39:29 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 4:42:24 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 4:43:51 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 4:50:22 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 4:51:31 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 4:52:43 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 4:53:03 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 4:54:10 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/11/2021 4:57:20 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
